820274111665000 now, 820274111269400 lastTime,0.07722400000000618 delta
820274161497200 now, 820274161101300 lastTime,0.06715600000000625 delta
820274161891700 now, 820274161497200 lastTime,0.09082600000000625 delta
820274162287300 now, 820274161891700 lastTime,0.11456200000000624 delta
820274162686200 now, 820274162287300 lastTime,0.13849600000000625 delta
820274163082600 now, 820274162686200 lastTime,0.16228000000000625 delta
820274163475900 now, 820274163082600 lastTime,0.18587800000000626 delta
820274163872400 now, 820274163475900 lastTime,0.20966800000000627 delta
820274164392300 now, 820274163872400 lastTime,0.24086200000000627 delta
820274164913000 now, 820274164392300 lastTime,0.2721040000000063 delta
820274165464400 now, 820274164913000 lastTime,0.3051880000000063 delta
820274166539100 now, 820274165464400 lastTime,0.36967000000000627 delta
820274166908400 now, 820274166539100 lastTime,0.3918280000000063 delta
820274167299300 now, 820274166908400 lastTime,0.41528200000000626 delta
820274167768000 now, 820274167299300 lastTime,0.44340400000000624 delta
820274168216900 now, 820274167768000 lastTime,0.47033800000000625 delta
820274168604600 now, 820274168216900 lastTime,0.49360000000000626 delta
820274169000800 now, 820274168604600 lastTime,0.5173720000000063 delta
820274169394200 now, 820274169000800 lastTime,0.5409760000000062 delta
820274169791400 now, 820274169394200 lastTime,0.5648080000000062 delta
820274170221000 now, 820274169791400 lastTime,0.5905840000000062 delta
820274170616000 now, 820274170221000 lastTime,0.6142840000000063 delta
820274171011800 now, 820274170616000 lastTime,0.6380320000000063 delta
820274171406400 now, 820274171011800 lastTime,0.6617080000000063 delta
820274171801500 now, 820274171406400 lastTime,0.6854140000000063 delta
820274172196900 now, 820274171801500 lastTime,0.7091380000000063 delta
820274172590300 now, 820274172196900 lastTime,0.7327420000000062 delta
820274172991400 now, 820274172590300 lastTime,0.7568080000000063 delta
820274173381100 now, 820274172991400 lastTime,0.7801900000000063 delta
820274173778200 now, 820274173381100 lastTime,0.8040160000000063 delta
820274174180200 now, 820274173778200 lastTime,0.8281360000000063 delta
820274174575900 now, 820274174180200 lastTime,0.8518780000000064 delta
820274174969300 now, 820274174575900 lastTime,0.8754820000000063 delta
820274175364600 now, 820274174969300 lastTime,0.8992000000000063 delta
820274175761400 now, 820274175364600 lastTime,0.9230080000000064 delta
820274176242700 now, 820274175761400 lastTime,0.9518860000000063 delta
820274176640000 now, 820274176242700 lastTime,0.9757240000000064 delta
820274177123200 now, 820274176640000 lastTime,1.0047160000000064 delta
820274177548500 now, 820274177123200 lastTime,0.030234000000006384 delta
820274178038700 now, 820274177548500 lastTime,0.05964600000000639 delta
820274178467100 now, 820274178038700 lastTime,0.08535000000000639 delta
820274178858200 now, 820274178467100 lastTime,0.1088160000000064 delta
820274179255700 now, 820274178858200 lastTime,0.1326660000000064 delta
820274179653100 now, 820274179255700 lastTime,0.1565100000000064 delta
820274180182000 now, 820274179653100 lastTime,0.1882440000000064 delta
820274180587200 now, 820274180182000 lastTime,0.2125560000000064 delta
820274180982500 now, 820274180587200 lastTime,0.2362740000000064 delta
820274181386900 now, 820274180982500 lastTime,0.2605380000000064 delta
820274181787300 now, 820274181386900 lastTime,0.28456200000000637 delta
820274182461400 now, 820274181787300 lastTime,0.32500800000000635 delta
820274182855500 now, 820274182461400 lastTime,0.34865400000000635 delta
820274183250700 now, 820274182855500 lastTime,0.37236600000000636 delta
820274183645500 now, 820274183250700 lastTime,0.39605400000000635 delta
820274184044700 now, 820274183645500 lastTime,0.4200060000000063 delta
820274184442100 now, 820274184044700 lastTime,0.4438500000000063 delta
820274184840900 now, 820274184442100 lastTime,0.4677780000000063 delta
820274185237000 now, 820274184840900 lastTime,0.4915440000000063 delta
820274185634000 now, 820274185237000 lastTime,0.5153640000000063 delta
820274186114400 now, 820274185634000 lastTime,0.5441880000000062 delta
820274186464800 now, 820274186114400 lastTime,0.5652120000000063 delta
820274186861000 now, 820274186464800 lastTime,0.5889840000000063 delta
820274187260100 now, 820274186861000 lastTime,0.6129300000000063 delta
820274187654200 now, 820274187260100 lastTime,0.6365760000000062 delta
820274188120400 now, 820274187654200 lastTime,0.6645480000000062 delta
820274188496900 now, 820274188120400 lastTime,0.6871380000000062 delta
820274188893100 now, 820274188496900 lastTime,0.7109100000000063 delta
820274189289400 now, 820274188893100 lastTime,0.7346880000000062 delta
820274189685100 now, 820274189289400 lastTime,0.7584300000000063 delta
820274190082000 now, 820274189685100 lastTime,0.7822440000000063 delta
820274190479700 now, 820274190082000 lastTime,0.8061060000000063 delta
820274190878500 now, 820274190479700 lastTime,0.8300340000000063 delta
820274191277200 now, 820274190878500 lastTime,0.8539560000000063 delta
820274191674300 now, 820274191277200 lastTime,0.8777820000000063 delta
820274192072900 now, 820274191674300 lastTime,0.9016980000000063 delta
820274192469200 now, 820274192072900 lastTime,0.9254760000000063 delta
820274192867000 now, 820274192469200 lastTime,0.9493440000000063 delta
820274193264300 now, 820274192867000 lastTime,0.9731820000000063 delta
820274193662100 now, 820274193264300 lastTime,0.9970500000000063 delta
820274194060100 now, 820274193662100 lastTime,1.0209300000000063 delta
820274194457700 now, 820274194060100 lastTime,0.044786000000006335 delta
820274194852300 now, 820274194457700 lastTime,0.06846200000000634 delta
820274195251100 now, 820274194852300 lastTime,0.09239000000000634 delta
820274195646100 now, 820274195251100 lastTime,0.11609000000000634 delta
820274196238400 now, 820274195646100 lastTime,0.15162800000000634 delta
820274196622600 now, 820274196238400 lastTime,0.17468000000000633 delta
820274197015300 now, 820274196622600 lastTime,0.19824200000000633 delta
820274197410900 now, 820274197015300 lastTime,0.22197800000000634 delta
820274197872400 now, 820274197410900 lastTime,0.24966800000000633 delta
820274198336400 now, 820274197872400 lastTime,0.2775080000000063 delta
820274198735800 now, 820274198336400 lastTime,0.3014720000000063 delta
820274199824900 now, 820274198735800 lastTime,0.3668180000000063 delta
820274200214700 now, 820274199824900 lastTime,0.3902060000000063 delta
820274200610800 now, 820274200214700 lastTime,0.41397200000000633 delta
820274201006800 now, 820274200610800 lastTime,0.43773200000000634 delta
820274201400600 now, 820274201006800 lastTime,0.4613600000000063 delta
820274201796500 now, 820274201400600 lastTime,0.4851140000000063 delta
820274202192800 now, 820274201796500 lastTime,0.5088920000000063 delta
820274202591600 now, 820274202192800 lastTime,0.5328200000000063 delta
820274203018500 now, 820274202591600 lastTime,0.5584340000000063 delta
820274203416200 now, 820274203018500 lastTime,0.5822960000000064 delta
820274203811900 now, 820274203416200 lastTime,0.6060380000000064 delta
820274204206200 now, 820274203811900 lastTime,0.6296960000000064 delta
820274204605400 now, 820274204206200 lastTime,0.6536480000000063 delta
820274205000400 now, 820274204605400 lastTime,0.6773480000000064 delta
820274205394600 now, 820274205000400 lastTime,0.7010000000000064 delta
820274205790400 now, 820274205394600 lastTime,0.7247480000000064 delta
820274206185400 now, 820274205790400 lastTime,0.7484480000000064 delta
820274206582800 now, 820274206185400 lastTime,0.7722920000000064 delta
820274207021100 now, 820274206582800 lastTime,0.7985900000000065 delta
820274207415100 now, 820274207021100 lastTime,0.8222300000000065 delta
820274207910900 now, 820274207415100 lastTime,0.8519780000000065 delta
820274208328500 now, 820274207910900 lastTime,0.8770340000000064 delta
820274208722300 now, 820274208328500 lastTime,0.9006620000000064 delta
820274209117300 now, 820274208722300 lastTime,0.9243620000000065 delta
820274209513900 now, 820274209117300 lastTime,0.9481580000000065 delta
820274209910600 now, 820274209513900 lastTime,0.9719600000000065 delta
820274210305100 now, 820274209910600 lastTime,0.9956300000000065 delta
820274210701100 now, 820274210305100 lastTime,1.0193900000000065 delta
820274211097300 now, 820274210701100 lastTime,0.04316200000000646 delta
820274211491700 now, 820274211097300 lastTime,0.06682600000000646 delta
820274212006600 now, 820274211491700 lastTime,0.09772000000000647 delta
820274212342400 now, 820274212006600 lastTime,0.11786800000000647 delta
820274212731000 now, 820274212342400 lastTime,0.14118400000000647 delta
820274213121700 now, 820274212731000 lastTime,0.16462600000000646 delta
820274213511800 now, 820274213121700 lastTime,0.18803200000000647 delta
820274213903700 now, 820274213511800 lastTime,0.21154600000000648 delta
820274214293100 now, 820274213903700 lastTime,0.23491000000000647 delta
820274214689400 now, 820274214293100 lastTime,0.25868800000000647 delta
820274215084900 now, 820274214689400 lastTime,0.2824180000000065 delta
820274216169800 now, 820274215084900 lastTime,0.3475120000000065 delta
820274216552600 now, 820274216169800 lastTime,0.37048000000000647 delta
820274216941800 now, 820274216552600 lastTime,0.39383200000000645 delta
820274217331000 now, 820274216941800 lastTime,0.41718400000000644 delta
820274217854500 now, 820274217331000 lastTime,0.44859400000000643 delta
820274218206800 now, 820274217854500 lastTime,0.4697320000000064 delta
820274218599900 now, 820274218206800 lastTime,0.4933180000000064 delta
820274218987500 now, 820274218599900 lastTime,0.5165740000000064 delta
820274219378000 now, 820274218987500 lastTime,0.5400040000000064 delta
820274219767600 now, 820274219378000 lastTime,0.5633800000000063 delta
820274220155700 now, 820274219767600 lastTime,0.5866660000000063 delta
820274220546100 now, 820274220155700 lastTime,0.6100900000000063 delta
820274220935700 now, 820274220546100 lastTime,0.6334660000000063 delta
820274221324700 now, 820274220935700 lastTime,0.6568060000000063 delta
820274221714100 now, 820274221324700 lastTime,0.6801700000000064 delta
820274222103300 now, 820274221714100 lastTime,0.7035220000000064 delta
820274222495600 now, 820274222103300 lastTime,0.7270600000000064 delta
820274222884200 now, 820274222495600 lastTime,0.7503760000000064 delta
820274223275800 now, 820274222884200 lastTime,0.7738720000000063 delta
820274223666100 now, 820274223275800 lastTime,0.7972900000000064 delta
820274224055300 now, 820274223666100 lastTime,0.8206420000000064 delta
820274224445700 now, 820274224055300 lastTime,0.8440660000000064 delta
820274224834500 now, 820274224445700 lastTime,0.8673940000000064 delta
820274225222100 now, 820274224834500 lastTime,0.8906500000000065 delta
820274225613900 now, 820274225222100 lastTime,0.9141580000000065 delta
820274226003700 now, 820274225613900 lastTime,0.9375460000000064 delta
820274226438100 now, 820274226003700 lastTime,0.9636100000000064 delta
820274226783900 now, 820274226438100 lastTime,0.9843580000000064 delta
820274227172700 now, 820274226783900 lastTime,1.0076860000000063 delta
820274227681700 now, 820274227172700 lastTime,0.0382260000000063 delta
820274228198500 now, 820274227681700 lastTime,0.06923400000000629 delta
820274228735500 now, 820274228198500 lastTime,0.10145400000000629 delta
820274229123000 now, 820274228735500 lastTime,0.12470400000000628 delta
820274229547900 now, 820274229123000 lastTime,0.15019800000000627 delta
820274229919100 now, 820274229547900 lastTime,0.17247000000000628 delta
820274230350300 now, 820274229919100 lastTime,0.1983420000000063 delta
820274230738800 now, 820274230350300 lastTime,0.2216520000000063 delta
820274231109900 now, 820274230738800 lastTime,0.2439180000000063 delta
820274231553500 now, 820274231109900 lastTime,0.27053400000000627 delta
820274232072000 now, 820274231553500 lastTime,0.3016440000000063 delta
820274232852300 now, 820274232072000 lastTime,0.34846200000000627 delta
820274233360800 now, 820274232852300 lastTime,0.37897200000000625 delta
820274233745600 now, 820274233360800 lastTime,0.40206000000000625 delta
820274234140500 now, 820274233745600 lastTime,0.42575400000000624 delta
820274234547600 now, 820274234140500 lastTime,0.45018000000000624 delta
820274235036500 now, 820274234547600 lastTime,0.47951400000000627 delta
820274235413800 now, 820274235036500 lastTime,0.5021520000000063 delta
820274236117000 now, 820274235413800 lastTime,0.5443440000000063 delta
820274236537400 now, 820274236117000 lastTime,0.5695680000000063 delta
820274236926500 now, 820274236537400 lastTime,0.5929140000000063 delta
820274237435900 now, 820274236926500 lastTime,0.6234780000000063 delta
820274237948500 now, 820274237435900 lastTime,0.6542340000000063 delta
820274238336200 now, 820274237948500 lastTime,0.6774960000000063 delta
820274238731700 now, 820274238336200 lastTime,0.7012260000000063 delta
820274239125900 now, 820274238731700 lastTime,0.7248780000000064 delta
820274239516600 now, 820274239125900 lastTime,0.7483200000000063 delta
820274239912800 now, 820274239516600 lastTime,0.7720920000000063 delta
820274240305200 now, 820274239912800 lastTime,0.7956360000000063 delta
820274240700300 now, 820274240305200 lastTime,0.8193420000000063 delta
820274241130300 now, 820274240700300 lastTime,0.8451420000000064 delta
820274241523000 now, 820274241130300 lastTime,0.8687040000000064 delta
820274241916000 now, 820274241523000 lastTime,0.8922840000000064 delta
820274242313200 now, 820274241916000 lastTime,0.9161160000000064 delta
820274242908200 now, 820274242313200 lastTime,0.9518160000000063 delta
820274243406200 now, 820274242908200 lastTime,0.9816960000000063 delta
820274243662400 now, 820274243406200 lastTime,0.9970680000000064 delta
820274244053100 now, 820274243662400 lastTime,1.0205100000000065 delta
820274244446400 now, 820274244053100 lastTime,0.04410800000000647 delta
820274244876600 now, 820274244446400 lastTime,0.06992000000000648 delta
820274245269700 now, 820274244876600 lastTime,0.09350600000000647 delta
820274245668100 now, 820274245269700 lastTime,0.11741000000000648 delta
820274246064800 now, 820274245668100 lastTime,0.14121200000000647 delta
820274246462200 now, 820274246064800 lastTime,0.16505600000000648 delta
820274246950200 now, 820274246462200 lastTime,0.19433600000000648 delta
820274247298300 now, 820274246950200 lastTime,0.21522200000000646 delta
820274247697900 now, 820274247298300 lastTime,0.23919800000000646 delta
820274248207300 now, 820274247697900 lastTime,0.26976200000000644 delta
820274248659600 now, 820274248207300 lastTime,0.29690000000000644 delta
820274249583900 now, 820274248659600 lastTime,0.35235800000000644 delta
820274249972100 now, 820274249583900 lastTime,0.3756500000000064 delta
820274250366700 now, 820274249972100 lastTime,0.3993260000000064 delta
820274250763300 now, 820274250366700 lastTime,0.4231220000000064 delta
820274251160200 now, 820274250763300 lastTime,0.4469360000000064 delta
820274251554600 now, 820274251160200 lastTime,0.4706000000000064 delta
820274251952100 now, 820274251554600 lastTime,0.4944500000000064 delta
820274252348500 now, 820274251952100 lastTime,0.5182340000000064 delta
820274252742600 now, 820274252348500 lastTime,0.5418800000000064 delta
820274253141600 now, 820274252742600 lastTime,0.5658200000000063 delta
820274253537500 now, 820274253141600 lastTime,0.5895740000000064 delta
820274253932900 now, 820274253537500 lastTime,0.6132980000000063 delta
820274254330200 now, 820274253932900 lastTime,0.6371360000000064 delta
820274254728000 now, 820274254330200 lastTime,0.6610040000000064 delta
820274255124300 now, 820274254728000 lastTime,0.6847820000000063 delta
820274255522000 now, 820274255124300 lastTime,0.7086440000000064 delta
820274255913700 now, 820274255522000 lastTime,0.7321460000000064 delta
820274256311600 now, 820274255913700 lastTime,0.7560200000000064 delta
820274256709400 now, 820274256311600 lastTime,0.7798880000000064 delta
820274257103600 now, 820274256709400 lastTime,0.8035400000000064 delta
820274257500000 now, 820274257103600 lastTime,0.8273240000000064 delta
820274257936200 now, 820274257500000 lastTime,0.8534960000000064 delta
820274258422000 now, 820274257936200 lastTime,0.8826440000000063 delta
820274258941600 now, 820274258422000 lastTime,0.9138200000000063 delta
820274259284600 now, 820274258941600 lastTime,0.9344000000000063 delta
820274259677700 now, 820274259284600 lastTime,0.9579860000000063 delta
820274260073700 now, 820274259677700 lastTime,0.9817460000000063 delta
820274260467900 now, 820274260073700 lastTime,1.0053980000000062 delta
820274260865000 now, 820274260467900 lastTime,0.02922400000000623 delta
820274261258000 now, 820274260865000 lastTime,0.052804000000006235 delta
820274261655000 now, 820274261258000 lastTime,0.07662400000000624 delta
820274262049100 now, 820274261655000 lastTime,0.10027000000000624 delta
820274262485800 now, 820274262049100 lastTime,0.12647200000000625 delta
820274262839400 now, 820274262485800 lastTime,0.14768800000000626 delta
820274263234000 now, 820274262839400 lastTime,0.17136400000000626 delta
820274263628400 now, 820274263234000 lastTime,0.19502800000000625 delta
820274264024200 now, 820274263628400 lastTime,0.21877600000000624 delta
820274264426000 now, 820274264024200 lastTime,0.24288400000000623 delta
820274264825700 now, 820274264426000 lastTime,0.2668660000000062 delta
820274265225600 now, 820274264825700 lastTime,0.2908600000000062 delta
820274266213400 now, 820274265225600 lastTime,0.3501280000000062 delta
820274266596400 now, 820274266213400 lastTime,0.3731080000000062 delta
820274267033900 now, 820274266596400 lastTime,0.3993580000000062 delta
820274267429200 now, 820274267033900 lastTime,0.4230760000000062 delta
820274267859600 now, 820274267429200 lastTime,0.44890000000000624 delta
820274268374000 now, 820274267859600 lastTime,0.47976400000000624 delta
820274268770200 now, 820274268374000 lastTime,0.5035360000000062 delta
820274269164100 now, 820274268770200 lastTime,0.5271700000000062 delta
820274269560100 now, 820274269164100 lastTime,0.5509300000000062 delta
820274270044200 now, 820274269560100 lastTime,0.5799760000000063 delta
820274270422200 now, 820274270044200 lastTime,0.6026560000000063 delta
820274270817700 now, 820274270422200 lastTime,0.6263860000000063 delta
820274271215600 now, 820274270817700 lastTime,0.6502600000000063 delta
820274271607800 now, 820274271215600 lastTime,0.6737920000000063 delta
820274272004000 now, 820274271607800 lastTime,0.6975640000000063 delta
820274272399600 now, 820274272004000 lastTime,0.7213000000000063 delta
820274272796200 now, 820274272399600 lastTime,0.7450960000000063 delta
820274273190400 now, 820274272796200 lastTime,0.7687480000000063 delta
820274273586600 now, 820274273190400 lastTime,0.7925200000000063 delta
820274274052400 now, 820274273586600 lastTime,0.8204680000000063 delta
820274274445700 now, 820274274052400 lastTime,0.8440660000000063 delta
820274274837800 now, 820274274445700 lastTime,0.8675920000000064 delta
820274275307500 now, 820274274837800 lastTime,0.8957740000000064 delta
820274275695900 now, 820274275307500 lastTime,0.9190780000000064 delta
820274276095100 now, 820274275695900 lastTime,0.9430300000000064 delta
820274276488100 now, 820274276095100 lastTime,0.9666100000000064 delta
820274276886100 now, 820274276488100 lastTime,0.9904900000000064 delta
820274277280600 now, 820274276886100 lastTime,1.0141600000000064 delta
820274277770400 now, 820274277280600 lastTime,0.04354800000000639 delta
820274278192700 now, 820274277770400 lastTime,0.06888600000000639 delta
820274278589200 now, 820274278192700 lastTime,0.09267600000000639 delta
820274278980200 now, 820274278589200 lastTime,0.1161360000000064 delta
820274279371900 now, 820274278980200 lastTime,0.1396380000000064 delta
820274279766000 now, 820274279371900 lastTime,0.1632840000000064 delta
820274280160100 now, 820274279766000 lastTime,0.1869300000000064 delta
820274280552300 now, 820274280160100 lastTime,0.2104620000000064 delta
820274280946500 now, 820274280552300 lastTime,0.2341140000000064 delta
820274281343000 now, 820274280946500 lastTime,0.2579040000000064 delta
820274281744700 now, 820274281343000 lastTime,0.2820060000000064 delta
820274282923200 now, 820274281744700 lastTime,0.3527160000000064 delta
820274283310600 now, 820274282923200 lastTime,0.3759600000000064 delta
820274283712900 now, 820274283310600 lastTime,0.4000980000000064 delta
820274284095000 now, 820274283712900 lastTime,0.4230240000000064 delta
820274284455000 now, 820274284095000 lastTime,0.4446240000000064 delta
820274284851600 now, 820274284455000 lastTime,0.4684200000000064 delta
820274285283900 now, 820274284851600 lastTime,0.4943580000000064 delta
820274285682200 now, 820274285283900 lastTime,0.5182560000000064 delta
820274286084900 now, 820274285682200 lastTime,0.5424180000000064 delta
820274286508200 now, 820274286084900 lastTime,0.5678160000000064 delta
820274287230900 now, 820274286508200 lastTime,0.6111780000000064 delta
820274287367300 now, 820274287230900 lastTime,0.6193620000000064 delta
820274287723000 now, 820274287367300 lastTime,0.6407040000000064 delta
820274288095900 now, 820274287723000 lastTime,0.6630780000000064 delta
820274288486900 now, 820274288095900 lastTime,0.6865380000000064 delta
820274288879000 now, 820274288486900 lastTime,0.7100640000000065 delta
820274289268600 now, 820274288879000 lastTime,0.7334400000000064 delta
820274289800700 now, 820274289268600 lastTime,0.7653660000000064 delta
820274290198700 now, 820274289800700 lastTime,0.7892460000000064 delta
820274290587000 now, 820274290198700 lastTime,0.8125440000000065 delta
820274290981600 now, 820274290587000 lastTime,0.8362200000000065 delta
820274291372900 now, 820274290981600 lastTime,0.8596980000000065 delta
820274291763300 now, 820274291372900 lastTime,0.8831220000000065 delta
820274292158200 now, 820274291763300 lastTime,0.9068160000000065 delta
820274292549300 now, 820274292158200 lastTime,0.9302820000000065 delta
820274292942100 now, 820274292549300 lastTime,0.9538500000000065 delta
820274293332900 now, 820274292942100 lastTime,0.9772980000000066 delta
820274293725300 now, 820274293332900 lastTime,1.0008420000000064 delta
820274294118700 now, 820274293725300 lastTime,0.02444600000000645 delta
820274294515500 now, 820274294118700 lastTime,0.048254000000006445 delta
820274294905300 now, 820274294515500 lastTime,0.07164200000000645 delta
820274295295300 now, 820274294905300 lastTime,0.09504200000000645 delta
820274295685100 now, 820274295295300 lastTime,0.11843000000000646 delta
820274296074200 now, 820274295685100 lastTime,0.14177600000000645 delta
